CAGDP9 Real GDP by county and metropolitan area 1/
CAGDP9 Real GDP by county and metropolitan area 1/
County
GeoFips,GeoName,LineCode,Description,2015,2016,2017,2018,2019,2020
29007,"Audrain, MO",35,"    Retail trade",68263,66355,59493,59751,56916,55070
29007,"Audrain, MO",36,"    Transportation and warehousing",23863,21516,26078,25625,26240,25183
29007,"Audrain, MO",45,"    Information",13966,15505,16580,16029,17483,15867
29007,"Audrain, MO",50,"    Finance, insurance, real estate, rental, and leasing",126997,126376,120611,123196,133113,135686
29007,"Audrain, MO",51,"      Finance and insurance",30675,28192,25579,27460,26073,26932
29007,"Audrain, MO",56,"      Real estate and rental and leasing",96425,98549,95585,96017,108244,109895
29007,"Audrain, MO",59,"    Professional and business services",48547,28192,53853,53233,30221,38216
29007,"Audrain, MO",60,"      Professional, scientific, and technical services",7233,7842,8511,(D),(D),(D)
29007,"Audrain, MO",64,"      Management of companies and enterprises",21011,1525,27004,(D),(D),(D)
29007,"Audrain, MO",65,"      Administrative and support and waste management and remediation services",21005,18378,20064,19069,17834,14644
29007,"Audrain, MO",68,"    Educational services, health care, and social assistance",38790,39203,39252,40735,38884,36301
29007,"Audrain, MO",69,"      Educational services",(D),(D),(D),(D),(D),(D)
29007,"Audrain, MO",70,"      Health care and social assistance",(D),(D),(D),(D),(D),(D)
29007,"Audrain, MO",75,"    Arts, entertainment, recreation, accommodation, and food services",12320,12346,12363,12830,13406,11378
29007,"Audrain, MO",76,"      Arts, entertainment, and recreation",2187,1823,1885,2207,2486,2019
29007,"Audrain, MO",79,"      Accommodation and food services",10125,10501,10459,10621,10931,9361
29007,"Audrain, MO",82,"    Other services (except government and government enterprises)",22999,22750,22953,20739,20460,18306
29007,"Audrain, MO",83,Government and government enterprises,138980,135348,132954,130081,124837,122428
29007,"Audrain, MO",,Addenda:,,,,,,
29007,"Audrain, MO",87,Natural resources and mining,45050,115851,135481,50076,71071,138137
29007,"Audrain, MO",88,Trade,112168,114381,111505,112806,107881,104414
29007,"Audrain, MO",89,Transportation and utilities,37819,37364,41988,42371,42592,43104
29007,"Audrain, MO",90,Manufacturing and information,381502,376439,333509,272927,241776,224058
29007,"Audrain, MO",91,Private goods-producing industries 2/,443184,490695,459688,334486,312158,339001
29007,"Audrain, MO",92,Private services-providing industries 3/,413590,395938,418499,421428,405300,404659
29009,"Barry, MO",1,All industry total,1675374,1503617,1468103,1614354,1500459,1416424
29009,"Barry, MO",2,"  Private industries",1588311,1414352,1377407,1517693,1400013,1314659
29009,"Barry, MO",3,"    Agriculture, forestry, fishing and hunting",(D),(D),184244,(D),104068,91006
29009,"Barry, MO",6,"    Mining, quarrying, and oil and gas extraction",3706,5271,5045,4861,5790,5260
29009,"Barry, MO",10,"    Utilities",2719,3019,3396,4237,7491,7829
29009,"Barry, MO",11,"    Construction",36012,36252,39123,36144,34757,36841
29009,"Barry, MO",12,"    Manufacturing",439715,428642,440906,428334,474323,454502
29009,"Barry, MO",13,"      Durable goods manufacturing",233714,249187,253276,238861,226065,218807
29009,"Barry, MO",25,"      Nondurable goods manufacturing",206390,181160,189188,190751,249491,236922
29009,"Barry, MO",34,"    Wholesale trade",34515,34825,35505,35941,30861,31376
29009,"Barry, MO",35,"    Retail trade",75295,76871,78826,77256,77517,77888
29009,"Barry, MO",36,"    Transportation and warehousing",(D),(D),(D),(D),(D),(D)
29009,"Barry, MO",45,"    Information",24357,26634,29596,30769,34254,30352
29009,"Barry, MO",50,"    Finance, insurance, real estate, rental, and leasing",193570,201389,172525,191829,185985,181362
29009,"Barry, MO",51,"      Finance and insurance",49173,44521,36442,40104,38041,38843
29009,"Barry, MO",56,"      Real estate and rental and leasing",144483,157879,137297,153195,149652,143612
29009,"Barry, MO",59,"    Professional and business services",218475,208290,236484,263699,244296,196564
29009,"Barry, MO",60,"      Professional, scientific, and technical services",171259,178886,176487,201241,206197,160890
29009,"Barry, MO",64,"      Management of companies and enterprises",26069,6996,32119,34600,8959,8945
29009,"Barry, MO",65,"      Administrative and support and waste management and remediation services",21139,22757,27014,27448,28716,25719
29009,"Barry, MO",68,"    Educational services, health care, and social assistance",53403,56014,(D),59173,(D),(D)
29009,"Barry, MO",69,"      Educational services",1167,1081,(D),1399,(D),(D)
29009,"Barry, MO",70,"      Health care and social assistance",52237,54940,(D),57767,(D),(D)
29009,"Barry, MO",75,"    Arts, entertainment, recreation, accommodation, and food services",23136,23807,22971,24911,26569,21667
29009,"Barry, MO",76,"      Arts, entertainment, and recreation",1901,2285,2260,2351,1837,1420
29009,"Barry, MO",79,"      Accommodation and food services",21237,21536,20727,22571,24699,20215
29009,"Barry, MO",82,"    Other services (except government and government enterprises)",23778,20926,19623,20089,19368,18969
29009,"Barry, MO",83,Government and government enterprises,88936,89840,90867,97236,99473,99826
29009,"Barry, MO",,Addenda:,,,,,,
29009,"Barry, MO",87,Natural resources and mining,(D),(D),190467,(D),111640,97908
29009,"Barry, MO",88,Trade,109791,111674,114304,113215,108077,108981
29009,"Barry, MO",89,Transportation and utilities,(D),(D),(D),(D),(D),(D)
29009,"Barry, MO",90,Manufacturing and information,463906,454775,469681,458011,507337,484150
29009,"Barry, MO",91,Private goods-producing industries 2/,(D),(D),698402,(D),677683,648193
29009,"Barry, MO",92,Private services-providing industries 3/,(D),(D),671428,(D),710001,656437
29011,"Barton, MO",1,All industry total,317066,346630,341883,319162,307003,347353
29011,"Barton, MO",2,"  Private industries",266878,298774,293285,287007,277303,319776
29011,"Barton, MO",3,"    Agriculture, forestry, fishing and hunting",59707,107314,121930,88979,73710,146361
29011,"Barton, MO",6,"    Mining, quarrying, and oil and gas extraction",818,166,158,431,0,0
29011,"Barton, MO",10,"    Utilities",2675,2881,2870,2834,2946,3158
29011,"Barton, MO",11,"    Construction",16148,15959,17805,17243,16558,16703
29011,"Barton, MO",12,"    Manufacturing",21148,19412,16594,15509,20396,21317
29011,"Barton, MO",13,"      Durable goods manufacturing",14266,12568,8980,9025,12299,13194
29011,"Barton, MO",25,"      Nondurable goods manufacturing",6894,6870,7685,6520,8120,8124
29011,"Barton, MO",34,"    Wholesale trade",34084,32968,23156,17807,13471,13763
29011,"Barton, MO",35,"    Retail trade",22369,23099,22937,22521,21207,20258
29011,"Barton, MO",36,"    Transportation and warehousing",(D),(D),(D),(D),(D),(D)
29011,"Barton, MO",45,"    Information",(D),(D),(D),(D),(D),(D)
29011,"Barton, MO",50,"    Finance, insurance, real estate, rental, and leasing",56490,52803,48247,55703,54817,55446
29011,"Barton, MO",51,"      Finance and insurance",21202,20028,17558,19534,18639,19042
29011,"Barton, MO",56,"      Real estate and rental and leasing",35288,32760,30744,36327,36422,36623
29011,"Barton, MO",59,"    Professional and business services",14418,12631,12088,18093,17163,16306
29011,"Barton, MO",60,"      Professional, scientific, and technical services",9722,8304,7947,7019,6863,6878
29011,"Barton, MO",64,"      Management of companies and enterprises",0,0,0,0,0,0
29011,"Barton, MO",65,"      Administrative and support and waste management and remediation services",4578,4217,4035,10628,9890,9068
29011,"Barton, MO",68,"    Educational services, health care, and social assistance",10459,17532,18715,27786,31673,30315
29011,"Barton, MO",69,"      Educational services",873,931,971,999,1026,868
29011,"Barton, MO",70,"      Health care and social assistance",9585,16619,17764,26832,30701,29503
29011,"Barton, MO",75,"    Arts, entertainment, recreation, accommodation, and food services",7363,7010,7337,7052,7132,6319
29011,"Barton, MO",76,"      Arts, entertainment, and recreation",(D),(D),168,(D),(D),(D)
29011,"Barton, MO",79,"      Accommodation and food services",(D),(D),7169,(D),(D),(D)
29011,"Barton, MO",82,"    Other services (except government and government enterprises)",(D),(D),(D),(D),(D),(D)
29011,"Barton, MO",83,Government and government enterprises,49945,48377,48944,34053,31685,30650
29011,"Barton, MO",,Addenda:,,,,,,
29011,"Barton, MO",87,Natural resources and mining,60526,107301,121879,89350,73533,146008
29011,"Barton, MO",88,Trade,56497,56104,46011,40119,34336,33725
29011,"Barton, MO",89,Transportation and utilities,(D),(D),(D),(D),(D),(D)
29011,"Barton, MO",90,Manufacturing and information,(D),(D),(D),(D),(D),(D)
29011,"Barton, MO",91,Private goods-producing industries 2/,100650,137422,148326,119327,112167,169870
29011,"Barton, MO",92,Private services-providing industries 3/,164221,164451,151342,167505,164110,160942
29013,"Bates, MO",1,All industry total,367336,402085,416381,393044,424729,440755
29013,"Bates, MO",2,"  Private industries",300714,333397,345015,319517,350905,366961
29013,"Bates, MO",3,"    Agriculture, forestry, fishing and hunting",13368,41106,67269,14283,67571,106317
29013,"Bates, MO",6,"    Mining, quarrying, and oil and gas extraction",2355,5271,6282,7756,6249,5540
29013,"Bates, MO",10,"    Utilities",(D),4832,4994,(D),(D),5783
29013,"Bates, MO",11,"    Construction",17604,20390,20561,21087,18975,19617
29013,"Bates, MO",12,"    Manufacturing",13072,10432,11020,13120,13342,12640
29013,"Bates, MO",13,"      Durable goods manufacturing",3400,3095,3705,3879,3758,2780
29013,"Bates, MO",25,"      Nondurable goods manufacturing",9668,7332,7303,9241,9593,9921
29013,"Bates, MO",34,"    Wholesale trade",(D),13999,14472,(D),18133,19822
29013,"Bates, MO",35,"    Retail trade",32416,32235,33252,32391,34028,33771
29013,"Bates, MO",36,"    Transportation and warehousing",24771,(D),(D),16240,16760,15033
29013,"Bates, MO",45,"    Information",1464,1619,(D),1787,1866,2114
29013,"Bates, MO",50,"    Finance, insurance, real estate, rental, and leasing",108038,116879,115053,121456,(D),115746
29013,"Bates, MO",51,"      Finance and insurance",30419,32922,32799,(D),(D),(D)
29013,"Bates, MO",56,"      Real estate and rental and leasing",77462,83787,82059,(D),86125,(D)
29013,"Bates, MO",59,"    Professional and business services",23974,(D),23102,22011,20385,16893
29013,"Bates, MO",60,"      Professional, scientific, and technical services",19099,18602,17581,16524,15136,11674
29013,"Bates, MO",64,"      Management of companies and enterprises",(D),(D),(D),(D),(D),(D)
29013,"Bates, MO",65,"      Administrative and support and waste management and remediation services",(D),(D),(D),(D),(D),(D)
29013,"Bates, MO",68,"    Educational services, health care, and social assistance",18977,18902,18732,17500,18084,17002
29013,"Bates, MO",69,"      Educational services",31,29,76,(D),(D),(D)
29013,"Bates, MO",70,"      Health care and social assistance",18947,18874,18655,(D),(D),(D)
29013,"Bates, MO",75,"    Arts, entertainment, recreation, accommodation, and food services",8698,9710,10100,10495,10327,8978
29013,"Bates, MO",76,"      Arts, entertainment, and recreation",757,1788,2303,2507,2415,2282
29013,"Bates, MO",79,"      Accommodation and food services",7941,7957,7857,8058,7976,6765
29013,"Bates, MO",82,"    Other services (except government and government enterprises)",9842,9614,(D),10039,9868,9331
29013,"Bates, MO",83,Government and government enterprises,66277,68576,71236,73034,73638,73792
29013,"Bates, MO",,Addenda:,,,,,,
29013,"Bates, MO",87,Natural resources and mining,15700,46249,73087,22996,72775,109161
29013,"Bates, MO",88,Trade,(D),46259,47750,(D),52353,53878
29013,"Bates, MO",89,Transportation and utilities,(D),(D),(D),(D),(D),20752
29013,"Bates, MO",90,Manufacturing and information,14533,11991,(D),14881,15172,14646
29013,"Bates, MO",91,Private goods-producing industries 2/,50479,76128,98666,61409,98262,126324
29013,"Bates, MO",92,Private services-providing industries 3/,245404,254627,246642,253947,252758,245066
29015,"Benton, MO",1,All industry total,396055,356291,355977,389750,372269,356086
29015,"Benton, MO",2,"  Private industries",335629,295362,294619,328067,311316,294203
29015,"Benton, MO",3,"    Agriculture, forestry, fishing and hunting",52103,27378,30543,48898,26982,36595
29015,"Benton, MO",6,"    Mining, quarrying, and oil and gas extraction",0,0,0,0,191,193
29015,"Benton, MO",10,"    Utilities",14354,12980,9026,5853,10650,231
29015,"Benton, MO",11,"    Construction",16191,17774,19019,18189,18590,18262
29015,"Benton, MO",12,"    Manufacturing",17830,19515,23024,24899,23079,19804
29015,"Benton, MO",13,"      Durable goods manufacturing",15014,16570,19370,21375,20077,16476
29015,"Benton, MO",25,"      Nondurable goods manufacturing",2812,2938,3647,3513,2986,3351
29015,"Benton, MO",34,"    Wholesale trade",7035,7335,6454,6104,5566,5921
29015,"Benton, MO",35,"    Retail trade",30303,31082,33433,34465,35266,37025
29015,"Benton, MO",36,"    Transportation and warehousing",(D),(D),(D),(D),6560,(D)
29015,"Benton, MO",45,"    Information",2294,2332,2180,2222,2134,1681
29015,"Benton, MO",50,"    Finance, insurance, real estate, rental, and leasing",120922,107933,99467,107130,101410,99498
29015,"Benton, MO",51,"      Finance and insurance",25954,23779,18762,21468,19688,21253
29015,"Benton, MO",56,"      Real estate and rental and leasing",95336,84406,81532,86212,82446,78353
29015,"Benton, MO",59,"    Professional and business services",7910,7766,8388,8420,9228,9800
29015,"Benton, MO",60,"      Professional, scientific, and technical services",4481,4335,4757,4927,5513,6431
29015,"Benton, MO",64,"      Management of companies and enterprises",0,0,0,0,0,0
29015,"Benton, MO",65,"      Administrative and support and waste management and remediation services",3428,3430,3632,3498,3726,3409
29015,"Benton, MO",68,"    Educational services, health care, and social assistance",(D),(D),(D),(D),20147,(D)
29015,"Benton, MO",69,"      Educational services",25,49,118,(D),(D),(D)
29015,"Benton, MO",70,"      Health care and social assistance",(D),(D),(D),(D),(D),(D)
29015,"Benton, MO",75,"    Arts, entertainment, recreation, accommodation, and food services",10133,10587,11034,11411,12046,10352
29015,"Benton, MO",76,"      Arts, entertainment, and recreation",1475,1766,2013,2163,1927,1627
29015,"Benton, MO",79,"      Accommodation and food services",8650,8821,9029,9263,10108,8714
29015,"Benton, MO",82,"    Other services (except government and government enterprises)",33792,23724,25512,37953,35519,30824
29015,"Benton, MO",83,Government and government enterprises,60618,60830,61243,61739,60934,61740
29015,"Benton, MO",,Addenda:,,,,,,
29015,"Benton, MO",87,Natural resources and mining,52377,27522,30703,49155,27370,37030
29015,"Benton, MO",88,Trade,37339,38418,39855,40510,40720,42833
29015,"Benton, MO",89,Transportation and utilities,(D),(D),(D),(D),17204,(D)
29015,"Benton, MO",90,Manufacturing and information,20141,21885,25325,27273,25340,21626
29015,"Benton, MO",91,Private goods-producing industries 2/,83517,67470,75679,91128,73146,75733
29015,"Benton, MO",92,Private services-providing industries 3/,252746,227533,220081,239468,237898,219622
29017,"Bollinger, MO",1,All industry total,160232,168329,191319,188738,181707,180541
29017,"Bollinger, MO",2,"  Private industries",135121,143298,166599,164099,157540,156351
29017,"Bollinger, MO",3,"    Agriculture, forestry, fishing and hunting",2422,10252,9941,7319,3580,15408
29017,"Bollinger, MO",6,"    Mining, quarrying, and oil and gas extraction",1139,1067,1399,1539,1800,1665
